symbol,entry_date,entry,sl,tp,quantity,risk_amount,signal_date,exit_date,exit_price,exit_reason,pnl_rupees,r_multiple,ema_exit_alert,holding_days
AUBANK,2026-02-18,1020.22,932.58,1151.68,28,2500.0,2026-01-29,2026-03-02,932.58,SL_HIT,-2453.92,-1.0,True,12
ADANIENT,2022-03-17,1760.38,1562.82,2056.72,12,2500.0,2022-02-15,2022-04-05,2056.72,TP_HIT,3556.08,1.5,False,19
ADANIENT,2025-04-17,2366.24,2156.96,2680.16,11,2500.0,2024-10-08,2025-08-07,2156.96,SL_HIT,-2302.08,-1.0,True,112
ADANIENT,2026-01-05,2291.85,2170.85,2473.35,20,2500.0,2025-10-29,2026-01-09,2170.85,SL_HIT,-2420.0,-1.0,False,4
ADANIPORTS,2025-11-12,1493.26,1393.14,1643.44,24,2500.0,2025-10-29,2026-01-20,1393.14,SL_HIT,-2402.88,-1.0,True,69
ABREL,2023-06-20,836.7,766.25,942.38,35,2500.0,2023-06-19,2023-07-07,942.38,TP_HIT,3698.8,1.5,False,17
AFCONS,2026-04-15,328.87,292.28,383.76,68,2500.0,2025-10-28,2026-05-19,292.28,SL_HIT,-2488.12,-1.0,False,34
AJANTPHARM,2022-08-24,1332.15,1233.6,1479.98,25,2500.0,2022-08-19,2022-09-28,1233.6,SL_HIT,-2463.75,-1.0,True,35
AJANTPHARM,2024-03-26,2215.72,2012.23,2520.95,12,2500.0,2024-02-29,2024-05-03,2520.95,TP_HIT,3662.76,1.5,True,38
ALKEM,2023-03-27,3241.49,2980.76,3632.58,9,2500.0,2023-03-16,2023-07-17,3632.58,TP_HIT,3519.81,1.5,True,112
ALKEM,2025-11-04,5645.33,5315.17,6140.57,7,2500.0,2025-10-29,2026-03-16,5315.17,SL_HIT,-2311.12,-1.0,True,132
ABDL,2026-02-03,518.98,421.62,665.02,25,2500.0,2025-12-31,2026-03-17,421.62,SL_HIT,-2434.0,-1.0,True,42
AMBER,2023-11-03,3124.49,2710.56,3745.38,6,2500.0,2023-10-25,2024-01-15,3745.38,TP_HIT,3725.34,1.5,True,73
ANURAS,2025-10-15,1132.75,1021.25,1300.0,22,2500.0,2025-10-03,2025-12-09,1300.0,TP_HIT,3679.5,1.5,True,55
ASTERDM,2024-11-27,455.24,419.96,508.16,70,2500.0,2024-10-24,2024-11-29,508.16,TP_HIT,3704.4,1.5,False,2
ATUL,2024-10-01,7928.05,7376.95,8754.7,4,2500.0,2024-09-27,2024-10-25,7376.95,SL_HIT,-2204.4,-1.0,True,24
AXISBANK,2025-06-10,1225.86,1126.54,1374.84,25,2500.0,2025-06-06,2025-07-18,1126.54,SL_HIT,-2483.0,-1.0,True,38
BAJAJ-AUTO,2022-06-10,3867.25,3563.25,4323.25,8,2500.0,2022-06-06,2022-06-14,3563.25,SL_HIT,-2432.0,-1.0,False,4
BAJFINANCE,2022-10-06,757.36,681.64,870.94,33,2500.0,2022-09-30,2022-11-18,681.64,SL_HIT,-2498.76,-1.0,True,43
BAJFINANCE,2024-04-22,730.21,665.79,826.84,38,2500.0,2024-04-19,2024-05-09,665.79,SL_HIT,-2447.96,-1.0,True,17
BELRISE,2025-12-23,170.37,152.62,197.0,140,2500.0,2025-12-19,2026-03-06,197.0,TP_HIT,3728.2,1.5,True,73
BDL,2023-02-23,484.87,408.18,599.9,32,2500.0,2023-01-31,2023-06-06,599.9,TP_HIT,3680.96,1.5,True,103
BHARATFORG,2022-05-18,696.65,597.45,845.45,25,2500.0,2022-04-26,2022-10-31,845.45,TP_HIT,3720.0,1.5,True,166
BPCL,2021-12-09,174.33,161.42,193.7,193,2500.0,2021-10-21,2021-12-20,161.42,SL_HIT,-2491.63,-1.0,False,11
BIKAJI,2023-11-06,501.92,466.93,554.4,71,2500.0,2023-10-11,2023-11-16,554.4,TP_HIT,3726.08,1.5,False,10
BIOCON,2025-10-20,364.21,334.64,408.56,84,2500.0,2025-09-18,2025-11-12,408.56,TP_HIT,3725.4,1.5,False,23
BLUESTARCO,2023-01-11,624.96,578.54,694.59,53,2500.0,2023-01-03,2023-02-03,694.59,TP_HIT,3690.39,1.5,False,23
CGPOWER,2026-02-01,607.21,511.64,750.57,26,2500.0,2025-10-29,2026-04-16,750.57,TP_HIT,3727.36,1.5,True,74
CANFINHOME,2023-11-20,789.17,736.13,868.73,47,2500.0,2023-10-17,2023-12-12,736.13,SL_HIT,-2492.88,-1.0,False,22
CANBK,2023-09-04,60.08,55.4,67.1,534,2500.0,2023-09-01,2023-09-18,67.1,TP_HIT,3748.68,1.5,False,14
CAPLIPOINT,2022-11-14,765.93,680.17,894.57,29,2500.0,2022-08-30,2023-01-27,680.17,SL_HIT,-2487.04,-1.0,True,74
CARBORUNIV,2023-11-22,1163.43,1069.12,1304.9,26,2500.0,2023-09-22,2024-02-26,1069.12,SL_HIT,-2452.06,-1.0,True,96
CASTROLIND,2022-01-17,123.18,116.51,133.19,374,2500.0,2021-10-21,2022-01-24,116.51,SL_HIT,-2494.58,-1.0,True,7
CASTROLIND,2024-06-10,197.49,175.8,230.03,115,2500.0,2024-05-31,2024-07-03,230.03,TP_HIT,3742.1,1.5,False,23
CEATLTD,2025-04-16,2973.02,2583.33,3557.56,6,2500.0,2025-04-11,2025-05-06,3557.56,TP_HIT,3507.24,1.5,False,20
CEMPRO,2025-09-09,758.48,669.47,892.0,28,2500.0,2025-08-11,2026-01-19,669.47,SL_HIT,-2492.28,-1.0,True,132
CHAMBLFERT,2025-01-23,505.14,460.11,572.68,55,2500.0,2025-01-07,2025-02-21,572.68,TP_HIT,3714.7,1.5,False,29
CLEAN,2026-01-22,883.03,826.52,967.79,44,2500.0,2025-07-14,2026-02-01,826.52,SL_HIT,-2486.44,-1.0,False,10
COHANCE,2025-02-20,1221.28,1013.02,1533.67,12,2500.0,2025-02-13,2025-04-07,1013.02,SL_HIT,-2499.12,-1.0,True,46
COLPAL,2023-09-26,2041.43,1906.42,2243.95,18,2500.0,2023-09-15,2023-12-01,2243.95,TP_HIT,3645.36,1.5,False,66
DABUR,2023-11-20,544.29,517.31,584.76,92,2500.0,2023-08-04,2024-01-29,517.31,SL_HIT,-2482.16,-1.0,True,70
DABUR,2025-08-01,532.54,498.41,583.73,73,2500.0,2025-07-28,2025-09-26,498.41,SL_HIT,-2491.49,-1.0,True,56
DABUR,2026-01-22,529.11,490.39,587.19,64,2500.0,2026-01-21,2026-03-04,490.39,SL_HIT,-2478.08,-1.0,True,41
DEEPAKFERT,2025-09-23,1503.83,1399.77,1659.92,24,2500.0,2025-07-29,2025-11-10,1399.77,SL_HIT,-2497.44,-1.0,True,48
DEEPAKNTR,2024-10-03,2986.06,2752.24,3336.79,10,2500.0,2024-09-27,2024-10-07,2752.24,SL_HIT,-2338.2,-1.0,False,4
DELHIVERY,2023-10-11,448.33,398.57,522.97,50,2500.0,2023-10-10,2023-11-06,398.57,SL_HIT,-2488.0,-1.0,True,26
DELHIVERY,2024-01-29,412.25,371.0,474.12,60,2500.0,2024-01-24,2024-02-02,474.12,TP_HIT,3712.2,1.5,False,4
DELHIVERY,2026-06-15,455.11,421.74,505.17,74,2500.0,2026-06-12,2026-07-01,505.17,TP_HIT,3704.44,1.5,False,16
DIVISLAB,2025-02-04,6155.22,5270.88,7481.73,2,2500.0,2025-01-14,2025-04-07,5270.88,SL_HIT,-1768.68,-1.0,True,62
DRREDDY,2023-02-03,884.21,840.69,949.49,57,2500.0,2023-01-27,2023-04-10,949.49,TP_HIT,3720.96,1.5,True,66
EIDPARRY,2022-07-13,572.31,466.29,731.34,23,2500.0,2022-06-21,2023-03-24,466.29,SL_HIT,-2438.46,-1.0,True,254
EIHOTEL,2023-07-12,219.47,199.58,249.3,125,2500.0,2023-07-11,2023-08-31,249.3,TP_HIT,3728.75,1.5,True,50
EICHERMOT,2025-01-02,4964.58,4700.42,5360.82,9,2500.0,2024-11-14,2025-01-03,5360.82,TP_HIT,3566.16,1.5,False,1
ELGIEQUIP,2025-07-09,557.67,485.03,666.63,34,2500.0,2025-06-23,2025-08-26,485.03,SL_HIT,-2469.76,-1.0,True,48
ESCORTS,2023-04-13,1948.62,1770.33,2216.05,14,2500.0,2023-02-10,2023-06-01,2216.05,TP_HIT,3744.02,1.5,False,49
EXIDEIND,2024-10-01,511.84,471.41,572.48,61,2500.0,2024-09-05,2024-10-22,471.41,SL_HIT,-2466.23,-1.0,False,21
NYKAA,2023-08-07,152.21,140.39,169.94,211,2500.0,2023-07-11,2023-08-14,140.39,SL_HIT,-2494.02,-1.0,False,7
FACT,2025-04-15,671.89,569.01,826.21,24,2500.0,2025-01-07,2025-05-12,826.21,TP_HIT,3703.68,1.5,False,27
FORTIS,2022-11-02,285.14,257.76,326.21,91,2500.0,2022-10-27,2023-03-20,257.76,SL_HIT,-2491.58,-1.0,True,138
FORTIS,2024-10-31,628.51,563.24,726.41,38,2500.0,2024-10-28,2024-11-25,726.41,TP_HIT,3720.2,1.5,False,25
GAIL,2026-01-02,170.19,162.83,181.23,339,2500.0,2025-11-26,2026-01-07,162.83,SL_HIT,-2495.04,-1.0,False,5
GICRE,2024-10-14,393.22,347.53,461.76,54,2500.0,2024-07-26,2024-10-23,347.53,SL_HIT,-2467.26,-1.0,False,9
GICRE,2026-01-22,379.34,351.31,421.38,89,2500.0,2025-12-12,2026-03-09,351.31,SL_HIT,-2494.67,-1.0,True,46
GILLETTE,2024-03-22,6613.2,6029.8,7488.3,4,2500.0,2024-03-12,2024-06-06,7488.3,TP_HIT,3500.4,1.5,True,76
GODREJCP,2023-11-03,1009.11,945.64,1104.32,39,2500.0,2023-08-07,2023-12-27,1104.32,TP_HIT,3713.19,1.5,True,54
GODREJCP,2024-04-08,1250.76,1140.69,1415.86,22,2500.0,2024-04-05,2024-04-19,1140.69,SL_HIT,-2421.54,-1.0,True,11
GODREJCP,2025-07-09,1298.46,1198.64,1448.19,25,2500.0,2025-06-02,2025-08-06,1198.64,SL_HIT,-2495.5,-1.0,True,28
GODREJIND,2021-11-02,601.11,555.49,669.54,54,2500.0,2021-10-29,2021-11-29,555.49,SL_HIT,-2463.48,-1.0,False,27
GRASIM,2023-06-06,1739.64,1638.36,1891.56,24,2500.0,2023-05-29,2023-09-12,1891.56,TP_HIT,3646.08,1.5,True,98
GRAVITA,2021-12-08,227.63,189.22,285.25,65,2500.0,2021-11-25,2021-12-27,285.25,TP_HIT,3745.3,1.5,False,19
FLUOROCHEM,2025-12-24,3649.32,3120.68,4442.28,4,2500.0,2025-10-16,2026-01-23,3120.68,SL_HIT,-2114.56,-1.0,True,30
HBLENGINE,2022-04-21,70.06,57.89,88.31,205,2500.0,2022-04-20,2022-04-29,88.31,TP_HIT,3741.25,1.5,False,8
HCLTECH,2023-08-11,1175.47,1102.88,1284.36,34,2500.0,2023-07-14,2023-09-12,1284.36,TP_HIT,3702.26,1.5,False,32
HDFCBANK,2024-03-13,733.6,698.7,785.95,71,2500.0,2024-01-15,2024-06-03,785.95,TP_HIT,3716.85,1.5,True,82
HDFCBANK,2025-07-24,1014.91,974.29,1075.84,61,2500.0,2025-07-21,2025-08-26,974.29,SL_HIT,-2477.82,-1.0,True,33
HDFCLIFE,2024-02-07,610.88,546.42,707.57,38,2500.0,2024-01-04,2024-05-09,546.42,SL_HIT,-2449.48,-1.0,True,92
HFCL,2023-09-29,79.46,68.79,95.46,234,2500.0,2023-09-27,2023-10-20,68.79,SL_HIT,-2496.78,-1.0,True,21
HAVELLS,2023-08-23,1325.6,1242.1,1450.85,29,2500.0,2023-08-17,2023-09-08,1450.85,TP_HIT,3632.25,1.5,False,16
HEROMOTOCO,2023-04-12,2325.9,2167.9,2562.9,15,2500.0,2023-01-31,2023-05-17,2562.9,TP_HIT,3555.0,1.5,False,35
HSCL,2023-07-13,137.12,123.68,157.28,186,2500.0,2023-07-11,2023-08-10,157.28,TP_HIT,3749.76,1.5,False,28
HINDALCO,2024-03-21,541.6,491.75,616.38,50,2500.0,2024-03-14,2024-04-15,616.38,TP_HIT,3739.0,1.5,False,25
HINDALCO,2025-08-25,720.26,655.64,817.19,38,2500.0,2025-08-13,2025-10-24,817.19,TP_HIT,3683.34,1.5,False,60
HINDZINC,2023-10-12,321.26,296.04,359.09,99,2500.0,2023-09-14,2023-10-26,296.04,SL_HIT,-2496.78,-1.0,True,14
HUDCO,2023-03-09,47.5,43.3,53.8,595,2500.0,2023-02-16,2023-03-23,43.3,SL_HIT,-2499.0,-1.0,True,14
ICICIGI,2023-09-04,1383.37,1286.13,1529.23,25,2500.0,2023-09-01,2023-09-28,1286.13,SL_HIT,-2431.0,-1.0,True,24
ITC,2023-01-09,280.0,266.0,301.0,178,2500.0,2023-01-05,2023-02-01,301.0,TP_HIT,3738.0,1.5,False,23
INDIACEM,2024-12-02,367.06,350.69,391.62,152,2500.0,2024-09-30,2024-12-09,350.69,SL_HIT,-2488.24,-1.0,False,7
INDIACEM,2025-11-17,408.71,365.89,472.94,58,2500.0,2025-11-11,2026-01-08,472.94,TP_HIT,3725.34,1.5,True,52
INDIANB,2023-12-07,413.31,372.84,474.02,61,2500.0,2023-11-29,2024-01-30,474.02,TP_HIT,3703.31,1.5,True,54
INDIANB,2024-07-15,535.51,496.59,593.89,64,2500.0,2024-07-09,2024-09-06,496.59,SL_HIT,-2490.88,-1.0,True,53
INDHOTEL,2023-08-23,397.48,371.32,436.72,95,2500.0,2023-08-22,2023-12-05,436.72,TP_HIT,3727.8,1.5,True,104
INDHOTEL,2024-06-14,599.15,499.85,748.1,25,2500.0,2024-06-05,2024-11-11,748.1,TP_HIT,3723.75,1.5,True,150
IOC,2024-06-14,156.05,140.21,179.81,157,2500.0,2024-06-03,2024-10-25,140.21,SL_HIT,-2486.88,-1.0,True,133
IOC,2026-01-28,163.54,152.0,180.85,216,2500.0,2026-01-27,2026-02-06,180.85,TP_HIT,3738.96,1.5,False,9
IGL,2023-04-06,228.94,204.16,266.11,100,2500.0,2023-04-05,2023-10-20,204.16,SL_HIT,-2478.0,-1.0,True,197
INOXWIND,2023-10-30,54.99,43.92,71.59,225,2500.0,2023-10-26,2023-12-01,71.59,TP_HIT,3735.0,1.5,False,32
INTELLECT,2023-11-23,710.29,635.71,822.16,33,2500.0,2023-10-18,2023-12-26,822.16,TP_HIT,3691.71,1.5,False,33
JBCHEPHARM,2025-07-24,1709.22,1610.28,1857.63,25,2500.0,2025-06-20,2026-01-05,1857.63,TP_HIT,3710.25,1.5,True,165
JKCEMENT,2025-09-19,6935.02,6249.98,7962.58,3,2500.0,2025-09-16,2025-10-01,6249.98,SL_HIT,-2055.12,-1.0,False,12
JSWENERGY,2022-10-11,351.09,281.26,455.83,35,2500.0,2022-10-06,2022-12-19,281.26,SL_HIT,-2444.05,-1.0,True,69
JSWINFRA,2024-09-18,344.66,300.79,410.47,56,2500.0,2024-08-27,2024-10-22,300.79,SL_HIT,-2456.72,-1.0,True,34
JUBLPHARMA,2023-08-07,397.24,353.76,462.46,57,2500.0,2023-07-28,2023-08-10,462.46,TP_HIT,3717.54,1.5,False,3
KPRMILL,2022-07-20,551.86,489.04,646.09,39,2500.0,2022-05-05,2022-12-23,489.04,SL_HIT,-2449.98,-1.0,True,156
KPITTECH,2026-04-08,732.22,620.73,899.46,22,2500.0,2025-12-19,2026-07-01,620.73,SL_HIT,-2452.78,-1.0,True,84
KAJARIACER,2023-05-05,1148.89,1038.26,1314.84,22,2500.0,2023-04-27,2023-06-14,1314.84,TP_HIT,3650.9,1.5,False,40
KPIL,2025-11-04,1316.66,1207.94,1479.74,22,2500.0,2025-10-28,2025-11-18,1207.94,SL_HIT,-2391.84,-1.0,True,14
KIRLOSENG,2025-08-19,970.5,803.05,1221.68,14,2500.0,2025-07-10,2025-12-16,1221.68,TP_HIT,3516.52,1.5,True,119
KOTAKBANK,2025-06-09,424.47,399.33,462.18,99,2500.0,2025-06-06,2025-07-28,399.33,SL_HIT,-2488.86,-1.0,True,49
LTFOODS,2023-04-19,103.39,86.31,129.01,146,2500.0,2023-01-31,2023-06-14,129.01,TP_HIT,3740.52,1.5,False,56
LTM,2023-05-02,4478.44,4036.56,5141.26,5,2500.0,2023-03-17,2023-06-19,5141.26,TP_HIT,3314.1,1.5,False,48
LT,2024-07-29,3715.74,3447.21,4118.53,9,2500.0,2024-07-25,2024-10-07,3447.21,SL_HIT,-2416.77,-1.0,True,70
LATENTVIEW,2023-08-09,394.18,348.82,462.22,55,2500.0,2023-07-28,2023-09-04,462.22,TP_HIT,3742.2,1.5,False,26
LATENTVIEW,2024-01-29,488.55,433.5,571.12,45,2500.0,2024-01-09,2024-03-14,433.5,SL_HIT,-2477.25,-1.0,True,45
LAURUSLABS,2024-04-02,413.62,368.98,480.58,56,2500.0,2024-03-22,2024-07-05,480.58,TP_HIT,3749.76,1.5,True,94
LINDEINDIA,2024-01-19,5925.06,5417.09,6687.02,4,2500.0,2023-12-01,2024-02-13,5417.09,SL_HIT,-2031.88,-1.0,True,25
LLOYDSME,2024-01-23,617.26,555.84,709.39,40,2500.0,2024-01-16,2024-02-01,555.84,SL_HIT,-2456.8,-1.0,False,9
LUPIN,2024-07-04,1674.81,1540.19,1876.74,18,2500.0,2024-06-05,2024-07-29,1876.74,TP_HIT,3634.74,1.5,False,25
MMTC,2025-12-26,61.26,54.16,71.91,352,2500.0,2025-10-29,2025-12-29,71.91,TP_HIT,3748.8,1.5,False,3
M&MFIN,2023-12-14,262.29,243.66,290.24,134,2500.0,2023-09-29,2023-12-21,243.66,SL_HIT,-2496.42,-1.0,False,7
MARICO,2023-07-13,542.12,512.88,585.98,85,2500.0,2023-06-30,2023-08-09,585.98,TP_HIT,3728.1,1.5,False,27
MFSL,2023-06-21,715.06,652.74,808.54,40,2500.0,2023-06-16,2023-06-28,808.54,TP_HIT,3739.2,1.5,False,7
MFSL,2024-02-07,932.98,842.57,1068.6,27,2500.0,2024-01-09,2024-04-23,1068.6,TP_HIT,3661.74,1.5,True,76
MFSL,2026-01-05,1720.43,1598.97,1902.62,20,2500.0,2025-12-31,2026-01-21,1598.97,SL_HIT,-2429.2,-1.0,True,16
MSUMI,2022-11-16,44.01,38.83,51.78,482,2500.0,2022-10-31,2022-11-21,38.83,SL_HIT,-2496.76,-1.0,False,5
MPHASIS,2024-02-15,2571.89,2285.41,3001.61,8,2500.0,2024-02-06,2024-03-13,2285.41,SL_HIT,-2291.84,-1.0,True,27
MUTHOOTFIN,2023-06-15,1161.02,1018.98,1374.08,17,2500.0,2023-05-22,2023-08-11,1374.08,TP_HIT,3622.02,1.5,False,57
NBCC,2025-12-26,117.69,104.76,137.08,193,2500.0,2025-11-14,2026-01-12,104.76,SL_HIT,-2495.49,-1.0,True,17
NCC,2024-11-01,306.68,262.62,372.77,56,2500.0,2024-08-19,2025-01-06,262.62,SL_HIT,-2467.36,-1.0,True,66
NHPC,2025-10-09,88.11,81.66,97.78,387,2500.0,2025-09-29,2025-11-07,81.66,SL_HIT,-2496.15,-1.0,True,29
NH,2022-08-10,683.48,598.17,811.45,29,2500.0,2022-07-28,2022-11-10,811.45,TP_HIT,3711.13,1.5,False,92
NH,2024-11-08,1291.77,1149.28,1505.51,17,2500.0,2024-11-06,2025-02-25,1505.51,TP_HIT,3633.58,1.5,True,109
NATIONALUM,2023-05-26,82.27,75.76,92.03,384,2500.0,2023-05-08,2023-07-17,92.03,TP_HIT,3747.84,1.5,True,52
NAVA,2025-06-03,500.0,434.4,598.4,38,2500.0,2025-04-11,2025-06-16,598.4,TP_HIT,3739.2,1.5,False,13
NAVINFLUOR,2022-07-06,3780.91,3335.34,4449.26,5,2500.0,2022-04-21,2022-08-05,4449.26,TP_HIT,3341.75,1.5,False,30
NESTLEIND,2022-11-29,1010.65,954.55,1094.8,44,2500.0,2022-11-28,2023-01-27,954.55,SL_HIT,-2468.4,-1.0,True,59
NUVAMA,2025-12-24,1503.42,1363.58,1713.18,17,2500.0,2025-12-11,2026-01-21,1363.58,SL_HIT,-2377.28,-1.0,True,28
NUVOCO,2025-02-06,365.04,321.31,430.64,57,2500.0,2025-01-29,2025-02-14,321.31,SL_HIT,-2492.61,-1.0,True,8
NUVOCO,2025-07-11,370.64,338.81,418.38,78,2500.0,2025-05-30,2025-07-24,418.38,TP_HIT,3723.72,1.5,False,13
ONGC,2024-07-05,267.23,235.67,314.57,79,2500.0,2024-06-03,2024-07-26,314.57,TP_HIT,3739.86,1.5,False,21
OLECTRA,2022-02-01,847.96,751.84,992.14,26,2500.0,2022-01-20,2022-02-14,751.84,SL_HIT,-2499.12,-1.0,True,13
OFSS,2024-06-06,7569.47,6653.03,8944.13,2,2500.0,2024-06-05,2024-06-13,8944.13,TP_HIT,2749.32,1.5,False,7
PGEL,2023-02-06,116.88,96.02,148.17,119,2500.0,2023-02-03,2023-05-08,148.17,TP_HIT,3723.51,1.5,True,91
PATANJALI,2024-02-08,556.21,488.59,657.64,36,2500.0,2024-02-06,2024-03-12,488.59,SL_HIT,-2434.32,-1.0,True,33
PERSISTENT,2024-11-25,5945.01,5243.94,6996.62,3,2500.0,2024-10-23,2025-02-28,5243.94,SL_HIT,-2103.21,-1.0,True,95
PHOENIXLTD,2023-06-06,768.8,680.05,901.92,28,2500.0,2023-05-26,2023-09-01,901.92,TP_HIT,3727.36,1.5,False,87
PIDILITIND,2024-08-08,1633.06,1492.94,1843.24,17,2500.0,2024-08-07,2024-11-13,1492.94,SL_HIT,-2382.04,-1.0,True,97
PFC,2026-03-18,429.43,381.92,500.69,52,2500.0,2026-03-05,2026-03-30,381.92,SL_HIT,-2470.52,-1.0,True,12
POWERGRID,2024-09-20,342.21,320.09,375.39,113,2500.0,2024-09-10,2024-10-23,320.09,SL_HIT,-2499.56,-1.0,True,33
RHIM,2023-11-06,731.09,664.71,830.66,37,2500.0,2023-10-11,2024-02-14,664.71,SL_HIT,-2456.06,-1.0,True,100
RADICO,2023-05-19,1157.88,1073.77,1284.05,29,2500.0,2023-05-05,2023-07-03,1284.05,TP_HIT,3658.93,1.5,False,45
RVNL,2022-03-16,33.48,29.67,39.19,656,2500.0,2022-02-10,2022-06-20,29.67,SL_HIT,-2499.36,-1.0,True,96
RAILTEL,2024-12-04,420.08,360.52,509.42,41,2500.0,2024-09-20,2025-01-13,360.52,SL_HIT,-2441.96,-1.0,True,40
RELIANCE,2023-07-03,1224.63,1175.42,1298.45,50,2500.0,2023-06-28,2023-07-10,1298.45,TP_HIT,3691.0,1.5,False,7
RPOWER,2023-11-03,18.42,16.03,22.01,1046,2500.0,2023-10-16,2023-11-13,22.01,TP_HIT,3755.14,1.5,False,10
SBFC,2023-12-12,93.86,82.44,110.99,218,2500.0,2023-11-30,2024-03-07,82.44,SL_HIT,-2489.56,-1.0,True,86
SBICARD,2026-01-06,898.16,828.09,1003.26,35,2500.0,2025-12-05,2026-01-20,828.09,SL_HIT,-2452.45,-1.0,True,14
SAPPHIRE,2024-01-20,295.89,270.51,333.96,98,2500.0,2024-01-10,2024-02-08,270.51,SL_HIT,-2487.24,-1.0,True,19
SARDAEN,2022-03-02,85.85,71.9,106.77,179,2500.0,2022-02-25,2022-03-11,106.77,TP_HIT,3744.68,1.5,False,9
SHYAMMETL,2023-06-14,325.5,298.05,366.67,91,2500.0,2023-06-06,2023-06-27,366.67,TP_HIT,3746.47,1.5,False,13
SONATSOFTW,2023-09-04,540.4,465.4,652.9,33,2500.0,2023-08-21,2023-11-09,652.9,TP_HIT,3712.5,1.5,True,66
SAIL,2025-12-29,134.79,123.05,152.4,212,2500.0,2025-11-26,2026-01-06,152.4,TP_HIT,3733.32,1.5,False,8
SAIL,2026-04-06,158.95,139.34,188.36,127,2500.0,2026-03-17,2026-04-28,188.36,TP_HIT,3735.07,1.5,False,22
SUNDARMFIN,2023-09-11,2653.63,2462.22,2940.75,13,2500.0,2023-08-18,2023-09-12,2940.75,TP_HIT,3732.56,1.5,False,1
SPLPETRO,2024-01-25,570.93,505.32,669.34,38,2500.0,2024-01-19,2024-02-19,669.34,TP_HIT,3739.58,1.5,False,25
SWANCORP,2025-12-17,475.08,419.27,558.79,44,2500.0,2025-11-07,2026-01-12,419.27,SL_HIT,-2455.64,-1.0,True,26
TVSMOTOR,2026-02-03,3808.3,3528.7,4227.7,8,2500.0,2026-01-28,2026-03-12,3528.7,SL_HIT,-2236.8,-1.0,True,37
TATACHEM,2023-07-28,1019.76,959.34,1110.39,41,2500.0,2023-07-26,2023-09-05,1110.39,TP_HIT,3715.83,1.5,True,39
TATACOMM,2024-02-16,1818.03,1655.17,2062.32,15,2500.0,2024-01-18,2024-04-02,2062.32,TP_HIT,3664.35,1.5,False,46
TATACOMM,2025-07-01,1713.26,1606.64,1873.19,23,2500.0,2025-06-25,2025-08-21,1606.64,SL_HIT,-2452.26,-1.0,True,51
TATAELXSI,2023-10-11,7423.75,7077.15,7943.65,7,2500.0,2023-10-04,2023-11-07,7943.65,TP_HIT,3639.3,1.5,False,27
TATAELXSI,2024-12-03,7098.96,6386.19,8168.12,3,2500.0,2024-09-20,2025-01-08,6386.19,SL_HIT,-2138.31,-1.0,True,36
TATAINVEST,2024-08-27,638.7,586.3,717.3,47,2500.0,2024-07-12,2024-08-28,717.3,TP_HIT,3694.2,1.5,False,1
TATAINVEST,2025-08-04,701.86,652.14,776.44,50,2500.0,2025-07-21,2025-09-23,776.44,TP_HIT,3729.0,1.5,True,50
TMPV,2022-05-30,300.55,254.6,369.48,54,2500.0,2022-02-15,2023-05-15,369.48,TP_HIT,3722.22,1.5,True,350
TECHM,2025-08-11,1481.53,1392.77,1614.67,28,2500.0,2025-07-16,2025-09-26,1392.77,SL_HIT,-2485.28,-1.0,True,46
TECHNOE,2022-11-03,289.9,265.1,327.1,100,2500.0,2022-08-17,2022-12-20,327.1,TP_HIT,3720.0,1.5,False,47
TITAN,2023-02-03,2434.46,2287.64,2654.69,17,2500.0,2022-12-09,2023-04-27,2654.69,TP_HIT,3743.91,1.5,True,83
TORNTPHARM,2024-12-02,3360.01,3079.59,3780.64,8,2500.0,2024-10-25,2025-02-05,3079.59,SL_HIT,-2243.36,-1.0,True,65
TRIDENT,2024-01-03,37.67,34.58,42.31,809,2500.0,2023-12-08,2024-01-08,42.31,TP_HIT,3753.76,1.5,False,5
UPL,2023-05-02,714.07,673.98,774.21,62,2500.0,2023-04-27,2023-05-08,673.98,SL_HIT,-2485.58,-1.0,False,6
ULTRACEMCO,2023-09-04,8376.91,8035.29,8889.34,7,2500.0,2023-08-16,2023-11-30,8889.34,TP_HIT,3587.01,1.5,True,87
UNITDSPR,2025-06-03,1588.24,1474.06,1759.51,21,2500.0,2025-06-02,2025-06-13,1474.06,SL_HIT,-2397.78,-1.0,True,10
USHAMART,2022-03-10,93.35,79.75,113.75,183,2500.0,2022-02-23,2022-03-16,113.75,TP_HIT,3733.2,1.5,False,6
VBL,2024-07-26,666.31,594.34,774.26,34,2500.0,2024-07-24,2024-08-06,594.34,SL_HIT,-2446.98,-1.0,True,11
WHIRLPOOL,2023-08-01,1465.39,1367.21,1612.66,25,2500.0,2023-07-20,2023-08-22,1612.66,TP_HIT,3681.75,1.5,False,21
WIPRO,2021-12-17,317.94,298.21,347.54,126,2500.0,2021-11-12,2022-01-19,298.21,SL_HIT,-2485.98,-1.0,True,33
YESBANK,2026-01-05,22.74,21.08,25.23,1506,2500.0,2025-11-25,2026-01-23,21.08,SL_HIT,-2499.96,-1.0,True,18
ZENTEC,2021-12-13,225.84,196.21,270.28,84,2500.0,2021-11-23,2022-01-25,196.21,SL_HIT,-2488.92,-1.0,True,43
ZYDUSWELL,2025-06-18,401.37,368.63,450.48,76,2500.0,2025-06-06,2025-09-02,450.48,TP_HIT,3732.36,1.5,True,76
